ID,Title,Severity,CVSS Score,CVSS Vector,Affected URL,Affected Parameter,Description,Impact,Remediation,Discovery Date,Verification Status
vuln_1759157851_0,Information_Gathering Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://api.spotify.com,simulated_param,Advanced reconnaissance and information gathering technique,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:57:31.393593,Verified
vuln_1759157866_0,Mobile_Exploitation Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://api.spotify.com,simulated_param,Advanced mobile application security technique,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:57:46.413540,Verified
vuln_1759157872_2,Cloud_Exploitation Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://api.yelp.com,simulated_param,Advanced cloud security exploitation technique,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:57:52.420793,Verified
vuln_1759157885_2,Mobile_Exploitation Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://api.yelp.com,simulated_param,Advanced mobile application security technique,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:58:05.435977,Verified
vuln_1759157885_2,Api_Exploitation Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://api.yelp.com,simulated_param,Advanced API security exploitation technique,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:58:05.436297,Verified
vuln_1759157893_5,Exploit_Chaining Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://api.slack.com,simulated_param,Chain information disclosure to achieve RCE,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:58:13.444024,Verified
vuln_1759157893_5,Security_Bypass Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://api.slack.com,simulated_param,Advanced security control bypass technique,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:58:13.444255,Verified
vuln_1759157908_7,Information_Gathering Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://admin.slack.com,simulated_param,Advanced reconnaissance and information gathering technique,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:58:28.461711,Verified
vuln_1759157908_7,Vulnerability_Research Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://admin.slack.com,simulated_param,Session fixation in login process,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:58:28.461948,Verified
vuln_1759157910_7,Mobile_Exploitation Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://admin.slack.com,simulated_param,Advanced mobile application security technique,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:58:30.463608,Verified
vuln_1759157919_7,Network_Exploitation Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://admin.slack.com,simulated_param,Advanced network security exploitation technique,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:58:39.474325,Verified
vuln_1759157921_11,Information_Gathering Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://shopify.com,simulated_param,Advanced reconnaissance and information gathering technique,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:58:41.477528,Verified
vuln_1759157921_11,Cloud_Exploitation Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://shopify.com,simulated_param,Advanced cloud security exploitation technique,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:58:41.477848,Verified
vuln_1759157925_11,Vulnerability_Research Vulnerability,medium,5.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:U/RC:R,https://shopify.com,simulated_param,Side-channel attacks,Potential medium impact vulnerability,Implement proper input validation and security controls,2025-09-29T14:58:45.481625,Verified
